2016-11-10_17:00;7;1;0.0;196.8;1700;5;4;317;0.1;76;10;1014;69;5
2016-11-10_18:00;7;1;0.0;196.8;1800;4;5;317;0.1;80;10;1014;68;4
2016-11-10_19:00;7;1;0.0;196.8;1900;4;4;317;0.1;81;10;1015;78;4
2016-11-10_20:00;7;1;0.0;196.8;2000;3;4;122;0.1;82;9;1015;88;3
2016-11-10_21:00;7;1;0.0;196.8;2100;3;4;122;0.1;83;9;1016;98;3
2016-11-10_22:00;7;1;0.0;196.8;2200;2;4;122;0.1;84;10;1016;94;2
2016-11-10_23:00;7;1;0.0;196.8;2300;2;5;119;0.0;84;10;1017;90;2
2016-11-11_00:00;9;0;0.0;196.8;0000;1;5;119;0.0;85;10;1017;86;1
2016-11-11_01:00;9;0;0.0;196.8;0100;0;5;119;0.0;85;10;1017;75;0
2016-11-11_02:00;9;0;0.0;196.8;0200;0;5;113;0.0;85;10;1017;65;0
2016-11-11_03:00;9;0;0.0;196.8;0300;-1;4;113;0.0;86;10;1018;54;-1
2016-11-11_04:00;9;0;0.0;196.8;0400;-1;5;113;0.0;85;10;1018;44;-1
2016-11-11_05:00;9;0;0.0;196.8;0500;-1;5;113;0.0;84;10;1018;33;-1
2016-11-11_06:00;9;0;0.0;196.8;0600;-1;5;113;0.0;83;10;1018;23;-1
2016-11-11_07:00;9;0;0.0;196.8;0700;0;6;113;0.0;81;10;1018;23;0
2016-11-11_08:00;9;0;0.0;196.8;0800;1;6;113;0.0;78;10;1018;22;1
2016-11-11_09:00;9;0;0.0;196.8;0900;1;7;113;0.0;75;10;1018;22;1
2016-11-11_10:00;9;0;0.0;196.8;1000;3;8;113;0.0;72;10;1018;21;3
2016-11-11_13:00;9;0;0.0;196.8;1300;6;9;113;0.0;65;10;1018;16;6
2016-11-11_11:00;9;0;0.0;196.8;1100;4;8;113;0.0;68;10;1018;21;4
2016-11-11_12:00;9;0;0.0;196.8;1200;6;9;113;0.0;64;10;1018;20;6
2016-11-11_14:00;9;0;0.0;196.8;1400;7;9;113;0.0;66;10;1018;12;7
